title,view,like,unlike,comment,date
머리 붙였다!  오랜만에 풀 메이크업 하고 *언택트* 청년든든 페스티벌에 다녀왔어요 겟레디윗미,"조회수 168,319회",2.8천,44,댓글 262개,2020. 12. 10.
없으면 못살았다 2020년 삶의 질 수직상승 아이템 10종 소개! 가성비 생활용품 꼭 사세요.,"조회수 240,806회",5.2천,61,댓글 310개,2020. 12. 7.
"고오오급(?) 사각팬티 리뷰 2탄  댓글에서 추천한거 다 사봄 (네모팬티, 자유브라, 톤포투, 이나타, 러브미모스트 etc)","조회수 194,161회",4.4천,37,댓글 573개,2020. 12. 1.
2020 홀리데이화장품 뭐살까김칫국 마시기 리뷰 !!,"조회수 176,928회",3.6천,82,댓글 207개,2020. 11. 20.
"10,11월 씨딩사무실 택배 겁나많음! 2020 홀리데이? 겨울용 기초, fw 립제품이 잔뜩 나왔다 신난다아","조회수 140,655회",2.7천,39,댓글 152개,2020. 11. 15.
[릴카씬님] 겨울왕국 엘사 잭 프로스트 메이크업 (for 할로윈),"조회수 125,673회",2.6천,15,댓글 215개,2020. 11. 1.
대폭소우르슬라 ㅋㅋㅋㅋㅋㅋ 할로윈 메이크업 ㅋㅋㅋㅋㅋㅋ  (feat.허예은),"조회수 176,757회",4.7천,33,댓글 441개,2020. 10. 29.
"매번 편지 보내주는 ""브랜드 담당자"" 역조공드리러 아모레 본사에 감 ㅋㅋㅋ","조회수 128,089회",2.8천,29,댓글 144개,2020. 10. 24.
로드샵 원브랜드 메이크업 : 페리페라 | SSIN,"조회수 311,962회",6.5천,96,댓글 462개,2020. 10. 22.
언뉘 룩북  처음  찍어봄 ....... ;;;;;;; ㅋㅋㅋㅋ (허리 32 하이틴 재질 메이크업),"조회수 377,644회",6.4천,91,댓글 510개,2020. 10. 16.
[아내의맛 보너스] 씬님 x 중국마마 케미폭팔 패왕별희 변신! 워아이니마마!!,"조회수 58,134회",1.7천,36,댓글 121개,2020. 10. 8.
"※음주리뷰※ 추석 팬티 파티엄마, 외숙모, 그리고 팬티 20장ㅋㅋㅋㅋㅋㅋㅋ","조회수 110,908회",2.4천,26,댓글 237개,2020. 10. 5.
[씬님 x 에이핑크 남주] 오늘 그냥 화장 꼭 해야돼요....?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"조회수 181,551회",3.6천,61,댓글 250개,2020. 9. 25.
"8,9월 씨딩몸닦는 패드! 존예 립스틱 발견? 사무실 협찬박스 열어보기!","조회수 122,638회",2.3천,35,댓글 173개,2020. 9. 18.
"새로운 브러쉬 & 파우치 팝니다.ㅋㅋㅋ(쿠모씬 브러시 사용법, 세척법, 파우치 꾸미기 모두첨부!)","조회수 127,496회",2.3천,30,댓글 273개,2020. 9. 4.
아이허브 30개 아이템 리뷰 First Impression,"조회수 126,420회",2.9천,58,댓글 430개,2020. 8. 29.
[XL 사이즈 복붙] 친구랑 옷 바꿔입기 : 입짧은햇님 vs 씬님,"조회수 580,268회",1.3만,163,댓글 890개,2020. 8. 27.
대박....;; 투쿨 쉐딩 2탄 나옴!!!,"조회수 237,565회",5.3천,78,"댓글 2,534개",2020. 8. 24.
핑크 다음은 플라워....존좋템 바꿔서 화장하기 with 아옳이,"조회수 245,414회",3.6천,70,댓글 248개,2020. 8. 12.
드디어 갑니다.국내외 30종 레깅스 리뷰. (입고 잘 수 있는 레깅스 발견),"조회수 619,077회",1.4만,119,"댓글 1,039개",2020. 8. 5.
"[레전드편...;;] 아이돌이랑 옷 바꿔입기 : 유채, 선샤인 vs 씬님","조회수 148,745회",2.1천,37,댓글 160개,2020. 8. 2.
5탄!!꼭G만 가리면 되는 남대문시장 속옷상가 쇼핑하울 & 리뷰,"조회수 582,645회",8.1천,111,댓글 771개,2020. 7. 23.
"5,6,7월 씨딩언니 드디어 수영복 협찬받았다. 세달치 시험공부 벼락치기 했어 (택배뜯기)","조회수 195,219회",3.5천,75,댓글 183개,2020. 7. 19.
"2020년 상반기 HOT존좋템 리스트 공개하겠습니다. (기초, 메이크업, 렌즈 추천)","조회수 355,762회",6.5천,95,댓글 291개,2020. 7. 9.
(룸투어) 말리부럼과 함께하는 트로피컬 홈파티 전문 플래너 '씬빠'에 초대합니다!! [SSInBAR],"조회수 75,995회",1.8천,31,댓글 126개,2020. 6. 23.
원브랜드 메이크업  웨이크메이크 (올리브영) Wakemake Korean one brand makeup | SSIN,"조회수 375,068회",7천,118,댓글 860개,2020. 6. 14.
2편 ㅋ2ㅋ2ㅋ2ㅋ2ㅋ2ㅋ2ㅋ2...... (메이크업),"조회수 795,454회",1만,181,댓글 837개,2020. 5. 29.
"국가의 부름을 받고 다녀온 ""브랜드 K"" 최종 품평회!! (고양이 매트 추천)","조회수 59,416회",1.2천,14,댓글 114개,2020. 5. 26.
"4월 씨딩드디어 먹을것도 왔다! 사무실 협찬 박스 택배 뜯기 (불가리, 라네즈, 투쿨, 어뮤즈 etc)","조회수 151,500회",3.5천,41,댓글 225개,2020. 5. 17.
그래요. 이거 우리 맞아요..... 9년전 흑역사 리액션 & 리 메이크업 (스타킹 화장성형녀),"조회수 387,985회",6.3천,69,댓글 468개,2020. 5. 11.
씬님 ㅋㅋㅋㅋㅋㅋㅋ바야바야뭐야ㅋㅋㅋㅋㅋㅋ - 베댓 中 .........(선케어 추천),"조회수 171,687회",2.4천,33,댓글 310개,2020. 4. 29.
드디어 입고......화장 해 봅니다.....(feat.커버리셔스),"조회수 358,496회",5.8천,101,댓글 615개,2020. 4. 28.
[폭소주의잉????] 친구랑 옷 바꿔입기 : 릴카 vs 씬님,"조회수 680,233회",8.7천,153,댓글 616개,2020. 4. 25.
"3월 씨딩씬님 사무실로 오는 메이크업, 화장품 택배 선물 박스를 열어보자!! (에스티로더, 롬앤, 샹테카이, 클리오 etc)","조회수 173,079회",3.4천,57,댓글 232개,2020. 4. 21.
속옷 유튜버 치곤 화장품을 꽤 좋아하시네요. - 베댓 中,"조회수 342,152회",5.7천,66,댓글 463개,2020. 4. 16.
"속옷말고 화장품 산거도 한번 봐봐, 제발 ...................................... *메이크업 유튜버*","조회수 327,833회",5.7천,86,댓글 460개,2020. 4. 6.
"4탄!! 속옷 쇼핑은 누구랑 한다??? 씬님이랑!! 빅시, 에어리, 란제리 쇼핑 하울 | SSIN","조회수 490,977회",7.4천,105,댓글 671개,2020. 3. 28.
[씬님 x DJ소다]  세상 핫해지는 클럽 인싸 메이크업 룩을 따라 해 봅시다. (feat.치토스),"조회수 861,472회",8.3천,286,댓글 561개,2020. 3. 25.
미국 결혼식 가는 메이크업  파티드레스를 같이 골라요 | SSIN,"조회수 467,731회",8.3천,122,댓글 487개,2020. 3. 15.
[폭소주의ㅋㅋ] 친구랑 옷 바꿔입기 : 곽토리 vs 씬님,"조회수 715,280회",1.1만,123,댓글 829개,2020. 3. 11.
"2월 씨딩한달만에 두배가 쌓였다! 씬님 사무실 협찬 박스를 열어보자. (헤라, 지방시, 베네피트, 랑콤, 비오템 etc)","조회수 174,258회",3.2천,46,댓글 235개,2020. 3. 7.
"[기초, 클렌징, 화장솜, 면봉] 존좋 메이크업 촬영 필수템만 들어있는 씬님의 '촬영카트'를 샅샅이 뒤져봅시다.","조회수 356,038회",5.7천,93,댓글 315개,2020. 3. 4.
저 이제 삼각팬티안입기로 했습니다. 가랑이 종기썰 + 사각팬티 11장 리뷰,"조회수 780,757회",1.8만,175,"댓글 1,622개",2020. 2. 27.
"[포토] 씬님, 포즈는 어려워 포토월 제대로 처음 서보는 메이크업 ... 기사 검색하지 마세욬ㅋㅋㅋ","조회수 113,613회",1.8천,21,댓글 124개,2020. 2. 19.
니모랑 코코넛크랩을 잡으러 코타키나발루 여행 3편,"조회수 70,560회",1.2천,23,댓글 119개,2020. 2. 16.
존좋 명품 귀걸이목걸이 소개해 봅니다.,"조회수 242,411회",3.9천,116,댓글 325개,2020. 2. 11.
봄맞이 옐로우민트 파스텔 메이크업 feat.DIATV 신년회,"조회수 144,701회",2.6천,36,댓글 172개,2020. 2. 6.
할리퀸 메이크업 Birds of Prey Harley Quinn MAKE UP TUT,"조회수 142,324회",3.4천,75,댓글 368개,2020. 2. 1.
1월 씨딩씬님 사무실에 오는 '신상 협찬 박스'들을 열어보자!!,"조회수 216,110회",4.3천,60,댓글 298개,2020. 1. 31.
"유튜브에 ""제일 처음 올린 메이크업 영상"" 따라해보기???!!!  한복 메이크업","조회수 757,036회",9.3천,182,댓글 688개,2020. 1. 22.
명품 후회템 VS 명품 존좋템,"조회수 1,222,022회",1.1만,518,댓글 784개,2020. 1. 20.
30초 vs 3분 vs 30분 동안 메이크업 하면 어떻게 달라질까?... SPEED CHALLENGE | 30 Min. | 3Min. | 30Sec.,"조회수 287,456회",5.2천,72,댓글 368개,2020. 1. 15.
크리에이터 재능기부 봉사단 '봉봉' 이 만들어졌습니다! 메이크업/헤어/포토 '청춘사진관' 프로젝트,"조회수 56,371회",2.3천,16,댓글 151개,2020. 1. 3.
[GIVEAWAY] 화려한연말파티개츠비킴카다시안비욘세메이크업 룩 | SSIN,"조회수 208,725회",4천,78,"댓글 2,133개",2019. 12. 28.
"겨울왕국 올라프, 엘사 메이크업 + 부끄럼 무릅쓰고 홍대 거리 활보ㅋㅋㅋㅋㅋwith. 소봉님","조회수 121,271회",2.7천,28,댓글 907개,2019. 12. 21.
리얼친구 텐션주의 ^^ 우당탕탕 코타키나발루 VLOG 2편,"조회수 110,763회",3.2천,18,"댓글 4,977개",2019. 12. 14.
"아~~주 평범한 묵은 택배뜯기, 생활용품 하울with. 곽토리","조회수 309,821회",5.1천,62,"댓글 2,203개",2019. 12. 10.
※리얼친구 텐션주의※ 30대 추천 면세점 쇼핑 아이템 30개 추천 코타키나발루 VLOG 1편,"조회수 407,922회",4.7천,134,댓글 255개,2019. 12. 5.
"또, 화장품 아파트 분양합니다. 이번엔 채빈선샤인이 왔어요! (feat.네이처)","조회수 111,630회",1.3천,31,댓글 100개,최초 공개: 2019. 11. 28.
어떻게 찍는지 까먹은 럭셔리 원브랜드 메이크업 : 헤라 HERA one brand makeup | SSIN,"조회수 806,405회",1.1만,198,댓글 879개,2019. 11. 14.
[겟 토일렛 윗미] 언니가 2020년 수능 응원한다!! 잘 풀고와!,"조회수 48,593회",1.7천,13,댓글 163개,2019. 11. 13.
전세계 화장품 다있는 씬님집에 또 입주자들이 넘쳐나서 팬분과 함께 입주시작합니다...........(테라이벤트/메이크업),"조회수 158,091회",2.1천,58,댓글 202개,2019. 11. 1.
그래요 오늘은 먹방입니다........................ (메이크업/씬님),"조회수 307,162회",4.6천,76,댓글 430개,2019. 10. 27.
울 고양이가 자꾸 머리끈을 모아요  .................................. (얼리어댑터 고양이 메이크업 유튜버 씬님),"조회수 329,017회",7.6천,56,댓글 694개,2019. 10. 24.
