title,view,like,unlike,comment,date
속편한 음식 땡길 땐 트러플전복죽 김치낙지죽 육쪽마늘죽 리얼사운드 먹방 | 본죽 모월인 소주 | juk EATING SHOW MUKBANG,"조회수 31,857회",953,14,댓글 165개,2020. 12. 16.
열라면에 해물듬뿍 넣고 추운날 야외 리얼사운드 먹방 | 문어 순두부 열라면 | Spicy Octopus Ramyeon EATING SHOW MUKBANG REAL SOUND,"조회수 134,018회",4.1천,76,댓글 445개,2020. 12. 14.
엽떡에 곱창 조합 미쳤네요 엽기떡볶이 매운맛 리얼사운드 먹방 | 천사곱창 김말이 | MOST SPICY TTEOKBOKI EATING SHOW MUKBANG,"조회수 132,150회",3.1천,61,댓글 206개,최초 공개: 2020. 12. 12.
후라이드 치킨이 신메뉴라고요?! 리얼사운드 먹방 | 교촌 리얼후라이드 교촌버거 마라떡볶이 레드라거 | Korean Fried Chicken EATING SHOW MUKBANG,"조회수 326,402회",4.6천,136,댓글 441개,최초 공개: 2020. 12. 9.
편의점 컵라면 도시락 디저트 리얼사운드 먹방 | convenience store food in Korea EATING SHOW MUKBANG,"조회수 186,052회",3.8천,79,댓글 460개,2020. 11. 30.
간장게장 양념게장 만족감 폭발  리얼사운드 먹방 | Soy sauce marinated raw crab | EATING SHOW MUKBANG REAL SOUND,"조회수 377,912회",9.3천,165,댓글 807개,2020. 11. 25.
맘스터치 New후라이드통다리 리얼사운드 먹방 | 신메뉴 리얼비프버거 알룰로스 양념치킨 | Fried Chicken & spicy chicken EATING SHOW MUKBANG,"조회수 286,186회",4.6천,121,댓글 471개,2020. 11. 21.
BBQ치본스테이크 신메뉴 리얼사운드 먹방 | Korean Chicken EATING SHOW MUKBANG REALSOUND,"조회수 404,944회",7.1천,233,"댓글 1,323개",2020. 11. 17.
연어초밥 듬뿍에 오독오독 광어회 먹방,"조회수 296,045회",6.4천,128,댓글 578개,2020. 11. 15.
튀긴 통삼겹에 김장김치 쫙쫙찢어 리얼사운드 먹방 | 새오프닝송 | KIMCHI & Fried Pork belly EATING SHOW | REAL SOUND MUKBANG,"조회수 303,852회",6.5천,140,댓글 623개,2020. 11. 13.
방음부스 보낸기념으로 짜장면 짬뽕 탕수육 먹방,"조회수 183,480회",4.6천,74,댓글 560개,2020. 11. 3.
멕시카나 꿀조합 치킨 먹방,"조회수 128,663회",3.1천,65,댓글 528개,2020. 11. 2.
"치킨 연구원분이 직접 튀겨주신 신메뉴를 먹어봤습니다 | 신호등치킨을 만들게 된 이유, 연구원의 최애부위는? | 멕시카나 모두의마요","조회수 306,294회",7.3천,159,"댓글 1,583개",최초 공개: 2020. 10. 28.
입짧은햇님이 시키는대로 먹어봤습니다 | 대창폭탄 닭볶음탕,"조회수 562,843회",1.6만,194,"댓글 1,443개",최초 공개: 2020. 10. 23.
육식맨님의 초대로 24시간을 굶었습니다 | 고든램지 통삼겹,"조회수 1,056,539회",2.5만,587,"댓글 3,229개",최초 공개: 2020. 10. 16.
내가 다시 시작할 수 있는 이유,"조회수 742,329회",4.4만,747,"댓글 7,721개",최초 공개: 2020. 10. 12.
뒷광고 논란에 대한 해명 및 전할 말씀이 있습니다,"조회수 3,250,143회",8만,3.3천,"댓글 19,072개",2020. 8. 9.
"유튜브 뒷광고 실태, 아는 만큼 말씀드리겠습니다 | 중간남","조회수 2,745,998회",5.5만,1.9천,"댓글 8,477개",2020. 8. 1.
딸이 선물받은 킹크랩 같이먹는 리얼사운드 먹방 | King crab EATING SHOW MUKBANG REAL SOUND,"조회수 697,546회",1.1만,346,"댓글 1,810개",2020. 7. 30.
"편의점 마카롱 미쳤네요! 편스토랑, 오모리김치찌개 리얼사운드 먹방 | Korean Convenience Store Foods Real Sound Mukbang Eating Show","조회수 571,774회",8.9천,195,"댓글 1,463개",최초 공개: 2020. 7. 26.
"밥도둑 전복장에 뚱땡이 꼬마김밥, 광어회 리얼사운드 먹방! | Soy Sauce Marinated Abalone, Kimbap, Sashimi REAL SOUND MUKBANG!","조회수 381,198회",6.2천,151,댓글 628개,2020. 7. 22.
수박에 초장 찍어먹어보라는데 이거 현피각인가요? | 긍정부스터,"조회수 128,334회",2.5천,44,댓글 366개,2020. 7. 18.
호떡토스트집 창업할건데 이름 추천 받아요 | 긍정부스터,"조회수 230,098회",3.5천,56,댓글 367개,2020. 7. 18.
피자나라 치킨공주 더블포테이토 핫리치셋트 리얼사운드 먹방 | Pizza & Chicken EATING SHOW MUKBANG,"조회수 812,192회",1.2만,275,"댓글 1,190개",2020. 7. 13.
통스팸 불마왕 라면에 수르스트뢰밍 리얼사운드 먹방! | Most spicy ramen & Surstromming EATING SHOW MUKBANG REALSOUND,"조회수 370,816회",6.4천,124,댓글 514개,최초 공개: 2020. 7. 10.
"설빙, 소리만 들어도 시원~~해지는 리얼사운드 먹방! 인절미 빙수, 인절미 토스트, 피자치즈떡볶이, 한입붕어빵 | Bingsu EATING SHOW MUKBANG!","조회수 340,701회",5.6천,133,댓글 965개,2020. 7. 7.
황금올리브 스타일 시장통닭 리얼사운드 먹방 | 올라프 홍라프 | 생방송 긍정부스터 | Old korean chicken EATING SHOW MUKBANG!,"조회수 156,486회",2.7천,55,댓글 255개,2020. 7. 3.
중국당면 느낌의 납작칼떡볶이 직접 만들어먹는 리얼사운드 먹방 | 핫도그 | Wide spicy Tteokbokki EATING SHOW MUKBANG REAL SOUND,"조회수 213,775회",4.5천,73,댓글 396개,최초 공개: 2020. 7. 1.
"김치전에 통삼겹, 소세지를 넣어 홍정식을 만들어봄 | 비오는날 김치전 감자전 | 통삼겹 소세지 쿡방 먹방 | 긍정부스터","조회수 77,942회",1.7천,33,댓글 169개,최초 공개: 2020. 6. 29.
"짜장면 냉면, 칠리새우 꿔바로우 빠삭하게 튀긴 리얼사운드 먹방 | ASMR MUKBANG EATING SHOW REAL SOUND","조회수 387,416회",6.2천,123,댓글 645개,최초 공개: 2020. 6. 27.
파맛 첵스 치킨과 설렁탕에 말아먹었습니다 상상도 못했던 맛 | 긍정부스터,"조회수 182,634회",2.5천,50,댓글 318개,최초 공개: 2020. 6. 26.
비오는날 밤 혼자 라면 끓여먹는데 자고 있던 아내가 나왔다 | 열라면에 맥주한잔 | 리얼사운드 ASMR | 부부의 일상대화,"조회수 696,280회",8.6천,171,댓글 965개,2020. 6. 24.
고원정식 먹다가 아내에게 꼰대소리 들음 ㅠ,"조회수 225,812회",4.1천,57,댓글 367개,최초 공개: 2020. 6. 22.
라면땅 핫도그에 짜파게티 삼양라면 스프를 뿌려먹는 리얼사운드 먹방 | 제일 잘 어울리는 스프는 뭘까? | Fried ramen Corndog EATING SHOW MUKBANG,"조회수 299,648회",6.4천,109,댓글 750개,2020. 6. 19.
크림진짬뽕에 완벽한 스테이크 리얼사운드 먹방 | 리버스시어링 채끝스테이크 | Cream spicy cheese noodles EATING SHOW MUKBANG,"조회수 451,688회",8.1천,143,댓글 682개,2020. 6. 17.
BBQ 자메이카 통다리구이 신메뉴 치즈볼4개 리얼사운드 먹방 | KOREAN BBQ CHICKEN LEGS EATING SHOW MUKBANG,"조회수 695,136회",1만,262,"댓글 1,515개",2020. 6. 14.
"집밥 제대로 먹기! 우렁쌈장 갈비찜에 김치찌개 배추에 싸서 한 입 가득 리얼사운드 먹방 | Galbijjim, Kimchi Jjigae EATING SHOW MUKBANG","조회수 92,976회",4.6천,54,댓글 380개,2020. 6. 11.
통삼겹 진비빔면 열무김치와 후루룩! 또 먹고 싶은 리얼사운드 먹방 | Pork belly & Jinbibimmyeon EATING SHOW MUKBANG,"조회수 276,584회",5.3천,113,댓글 660개,2020. 6. 9.
딸이 만들어준 생크림듬뿍 과일샌드위치 리얼사운드 먹방! | Fruit Sandwich EATING SHOW MUKBANG,"조회수 783,202회",1.3만,264,"댓글 1,081개",2020. 6. 5.
게딱지장에 김부각 리얼사운드 조합 먹방 | 계란장 열무김치 계란말이 크래미 | Crab Innards EATING SHOW MUKBANG REALSOUND KOREAN FOOD,"조회수 202,327회",3.8천,65,댓글 385개,2020. 6. 3.
파삼겹살에 볶음밥 리얼사운드 먹방 | 청주 봉용불고기 쌈채소 | Spicy Bulgogi EATING SHOW | MUKBANG | KOREAN FOOD,"조회수 149,649회",3.1천,49,댓글 406개,2020. 5. 31.
고기에서 이런 향이 나?! 드라이에이징 스테이크 먹방 | 50 days Dry aging Steak EATING SHOW | MUKBANG,"조회수 165,307회",3.1천,79,댓글 431개,2020. 5. 29.
통연어 1.5kg 리얼사운드 먹방 | 연어자르는 소리 들어봤어요? | Raw Salmon EATING SHOW MUKBANG,"조회수 803,403회",1.4만,317,"댓글 1,490개",2020. 5. 27.
진짜장 미쳤네... 파김치에 고추치킨 치즈볼 올려서 리얼사운드 먹방 | Jjajangmyeon & Chicken EATING SHOW | REAL SOUND | MUKBANG,"조회수 262,655회",5.8천,103,댓글 553개,2020. 5. 25.
신메뉴 까르보불닭치킨에 순살치밥 리얼사운드 먹방 | 멕시카나 불닭치킨 허니벌꿀 | Carbonara buldak chicken EATING SHOW | MUKBANG,"조회수 380,649회",5.8천,127,댓글 627개,2020. 5. 23.
치즈폭포 까르보불닭볶음면에 팽이버섯 닭다리 리얼사운드 먹방 | Cheese Carbonara Buldak Spicy noodles ASMR MUKBANG | REAL SOUND,"조회수 453,445회",8.6천,151,댓글 818개,2020. 5. 21.
1000번 저은 계란후라이를 갓구운 크로와상에 똭! 리얼사운드 먹방! | 계란후라이 크로와상,"조회수 1,737,432회",2.1만,555,"댓글 2,093개",2020. 5. 19.
청주 학생들의 성지 동그라미 분식 전메뉴 리얼사운드 먹방 | 비빔냉면 햄버거 | old Bibim Naengmyeon Hamburger | MUKBANG | REAL SOUND,"조회수 168,868회",3.3천,61,댓글 575개,2020. 5. 16.
최애 치킨꼬치 리얼사운드 먹방 | 고추바사삭 슈프림양념 국물떡볶이 모듬튀김 Chili Pepper Chicken Eating show ASMR MUKBANG REALSOUND,"조회수 273,086회",8.9천,139,댓글 681개,2020. 5. 15.
진진짜라에 파김치 통삽겹 계란후라이 새우튀김 리얼사운드 먹방 |  Belly pork Jjajangmyeon EATING SHOW | ASMR MUKBANG | REAL SOUND,"조회수 1,243,315회",2.1만,461,"댓글 2,796개",2020. 5. 12.
"치즈폭포 신전떡볶이에 치즈폭포 신전김밥 감자튀김 참치마요컵밥 리얼사운드 먹방 Sinjeon Tteokbokki with Cheese Waterfall, Kimbap MUKBANG","조회수 485,929회",1만,208,"댓글 1,119개",2020. 5. 9.
BBQ 신메뉴 핫황금올리브 크리스피 블랙페퍼 레드 찐킹 리얼사운드 먹방 | BBQ KOREAN CHICKEN EATING SHOW | ASMR MUKBANG | REAL SOUND,"조회수 1,063,403회",1.6만,352,"댓글 1,962개",2020. 5. 7.
KFC 도넛버거 펭수 던킨도너츠 리얼사운드 먹방 | KFC Donut burger EATING SHOW | ASMR MUKBANG | REAL SOUND,"조회수 535,946회",1만,247,"댓글 1,736개",2020. 5. 4.
"유튜버분들께는 멘토링과 지원금을, 작은기업에게는 홍보의 기회를 드리는 오크리에이터스 공모전 혹시 들어보셨나요?!","조회수 21,663회",583,10,댓글 86개,2020. 5. 4.
BHC 핫후라이드를 시켰는데 그냥 후라이드를 가져다 준거 같다는 제보가 와서 비교 리얼사운드 먹방 Spicy fried chicken EATING SHOW ASMR MUKBANG,"조회수 711,141회",9.4천,213,"댓글 1,192개",2020. 5. 2.
이삭 신메뉴 불닭토스트 딥치즈베이컨토스트 리얼사운드 먹방 | Fire Chicken & Deep Cheese Bacon Toast EATING SHOW | ASMR MUKBANG,"조회수 526,006회",1만,177,"댓글 1,576개",2020. 4. 29.
스팸김치찌개에 대왕계란말이 리얼사운드 먹방 | Spam Kimchi Stew & Egg Roll EATING SHOW | ASMR MUKBANG | REALSOUND,"조회수 351,394회",6.7천,135,댓글 850개,2020. 4. 26.
