title,view,like,unlike,comment,date
"아삭한 김장김치와 싱싱한 굴, 보쌈까지! (Bossam, Boiled pork belly with Oysters & Kimchi) 요리&먹방!- Mukbang eating show","조회수 286,097회",9.3천,617,"댓글 1,202개",2020. 12. 17.
대중적인 매운맛! 맵닭볶음면과 양고기 토마호크까지~(Spicy chicken flavor ramen& Lamb tomahawk) 요리&먹방! - Mukbang eating show,"조회수 301,052회",9.4천,410,댓글 654개,2020. 12. 16.
직접 재배한 배추와 고추로 김치 50포기 김장!! 김장김치와 신라면 8봉 먹방까지! 요리&먹방!! - Mukbang eating show,"조회수 485,261회",1.4만,579,"댓글 1,302개",2020. 12. 15.
환상의 분식 짝꿍! 쫄면과 수제 돈까스 먹방! (Handmade Pork Cutlet & Jjolmyeon) 요리&먹방!! - Mukbang eating show,"조회수 394,018회",9.9천,679,댓글 935개,2020. 12. 13.
싱싱한 꼼장어를 숯불초벌해서 구운 양념 꼼장어 구이!! (Seasoned Grilled Eel) 요리&먹방!! - Mukbang eating show,"조회수 332,186회",9.6천,1천,"댓글 1,274개",2020. 12. 12.
제주하면 흑돼지!! 숯불직화 흑돼지 삼겹살과 목살! (Black pork belly & Neck meat in Jeju) 요리&먹방!! - Mukbang eating show,"조회수 299,234회",9.2천,586,댓글 649개,2020. 12. 10.
해물 통갈치 조림과 제주향토음식 몸국과 고기국수 까지! 제주 음식투어 먹방!! (Food tour in Jeju) - Mukbang eating show,"조회수 380,773회",1만,658,댓글 690개,2020. 12. 9.
"짜파게티와 파김치, 반숙계란까지~ (Chapagetti with Green onion Kimchi) 8개 뚝딱! 요리&먹방!! - Mukbang eating show","조회수 394,246회",1만,614,댓글 684개,2020. 12. 8.
"돌솥 무밥과 바지락국, 우럭구이, 무생채까지 집밥 한상!! (Homemade Korean foods) 요리&먹방!! - Mukbang eating show","조회수 464,089회",1만,476,댓글 623개,2020. 12. 6.
"불족발) 가마솥에 익힌 족발에 매운 양념 묻혀 숯불에 구운 불족발!! (Spicy Jokbal, pigs' feet) 요리&먹방!! - Mukbang eating show","조회수 617,347회",1.3만,844,"댓글 1,020개",2020. 12. 5.
맵단짠 맵단짠!! 치즈 듬뿍 솥뚜껑 치즈 닭갈비 (Spicy Stir-fried Chicken with Cheese!) 요리&먹방!! - Mukbang eating show,"조회수 415,678회",1만,758,댓글 976개,2020. 12. 3.
고등어 구이와 잘 익은 김치로 만든 김치찌개! 집밥 한상! (Kimchi stew & Grilled Mackerel) 요리&먹방!! - Mukbang eating show,"조회수 516,259회",1만,598,댓글 800개,2020. 12. 2.
짚불로 초벌해서 더 맛있게 구운 삼겹살에 파김치까지! (Samgyeopsal grilled by Straw fire) 요리&먹방!! - Mukbang eating show,"조회수 444,200회",1.1만,616,댓글 832개,2020. 12. 1.
"직접 만든, 체다 치즈 듬뿍 뿌린 체다 치즈 닭다리 치킨!! (Fried Chicken with Cheddar Cheese) 요리&먹방!! - Mukbang eating show","조회수 319,547회",8.5천,639,댓글 840개,2020. 11. 29.
새우와 홍합 한 가득 넣은 솥뚜껑 오징어짬뽕 라면!! (Instant Champong with Mussels & Shrimps)요리&먹방!! - Mukbang eating show,"조회수 372,525회",1만,592,댓글 659개,2020. 11. 28.
