,title,view,like,unlike,comment,date,token2
0,마가린 + 식빵 + 설탕 20201215/Mukbang eating show,48844.0,1200.0,48.0,106.0,2020. 12. 15.,"['식빵', '설탕', '마가린']"
1,봉추찜닭에 순살찜닭이 20201215/Mukbang eating show,47903.0,1300.0,47.0,119.0,2020. 12. 15.,['봉추']
2,신상을 먹어 보았어요 교촌리얼후라이드2020/Mukbang eating show,201572.0,3200.0,92.0,224.0,2020. 12. 14.,"['후라', '신상', '이드', '리얼']"
3,다 먹지 못한 알찜과 알탕  20201214/Mukbang eating show,124078.0,2200.0,77.0,199.0,2020. 12. 14.,[]
4,[ENG] 방송 5주년 기념 갈비찜과 케이크 먹방편 /20201207방송 편집버전,132010.0,2600.0,59.0,143.0,2020. 12. 13.,"['케이크', '갈비찜', '기념']"
5,[ENG] 라면 먹고 갈래 먹방편 /20201206방송 편집버전,231710.0,3700.0,100.0,262.0,2020. 12. 12.,['갈래']
6,(광고예용)맥도날드와 코카콜라 먹방 20201203/Mukbang eating show,209414.0,3500.0,126.0,245.0,2020. 12. 11.,"['코카콜라', '맥도날드', '광고']"
7,안 취했습니다 후식 크로플 먹방 20201210/Mukbang eating show,292931.0,400.0,94.0,334.0,2020. 12. 10.,['후식']
8,자연산 막회와 과메기 먹방  회덮밥에 매운탕까지 20201210/Mukbang eating show,225949.0,3600.0,108.0,311.0,2020. 12. 10.,"['회덮밥', '매운탕', '자연산', '메기']"
9,'한스' 딸기 생크림 케이크20201209/Mukbang eating show,135556.0,200.0,54.0,145.0,2020. 12. 9.,"['생크림', '케이크']"
10,[ENG] 크림불닭볶음면과 투움바치킨 먹방편 /20201201방송 편집버전,243636.0,3900.0,79.0,210.0,2020. 12. 8.,"['닭볶음', '치킨', '크림']"
11,딸기 생크림 케이크 20201207/Mukbang eating show,220921.0,4600.0,95.0,313.0,2020. 12. 7.,"['생크림', '케이크', '딸기']"
12,5주년특집 엄마표 갈비찜 20201207/Mukbang eating show,230184.0,500.0,222.0,435.0,2020. 12. 7.,"['특집', '갈비찜', '엄마']"
13,라면 먹고 갈래  20201206/Mukbang eating show,477487.0,6600.0,189.0,461.0,2020. 12. 6.,"['갈래', '라면']"
14,[ENG] 깍두기대창볶음밥과 롤케이크 먹방편 /20201130방송 편집버전,151246.0,2500.0,59.0,164.0,2020. 12. 5.,"['케이크', '볶음밥', '깍두기', '대창']"
15,수능대박기원 20201202/Mukbang eating show,160577.0,2600.0,74.0,181.0,2020. 12. 2.,"['박기원', '수능']"
16,전전전전전이야 20201202/Mukbang eating show,224132.0,3600.0,111.0,177.0,2020. 12. 2.,['전전']
17,푸라닭 투움바X2 불닭X3 20201201/Mukbang eating show,490327.0,6800.0,166.0,411.0,2020. 12. 1.,[]
18,파리바게트 롤케이크 4종 먹방 20201130/Mukbang eating show,145645.0,200.0,74.0,200.0,2020. 11. 30.,"['케이크', '바게트', '파리']"
19,대창 듬뿍 들어간 깍두기볶음밥 먹방 20201130/Mukbang eating show,332629.0,6300.0,173.0,381.0,2020. 11. 30.,"['깍두기', '볶음밥', '대창']"
20,샌드위치 특집 20201129/Mukbang eating show,275441.0,4300.0,119.0,229.0,2020. 11. 29.,"['특집', '샌드위치']"
21,Q 햇님은 점심에 뭐 먹나요  돈까스요   20201128/Mukbang eating show,372038.0,6800.0,133.0,354.0,2020. 11. 28.,"['점심', '돈까스']"
22,오늘밤 잠은 다 잔것 20201127/Mukbang eating show,103808.0,2100.0,67.0,84.0,2020. 11. 27.,['오늘']
23,삼첩분식 처음 먹어 봅니다 20201126/Mukbang eating show,566200.0,6900.0,230.0,747.0,2020. 11. 26.,"['분식', '처음']"
24,직원들과 그림분석 받으러 간 햇님 20201125/Mukbang eating show,110814.0,2600.0,65.0,110.0,2020. 11. 25.,"['그림', '직원', '분석']"
25,친구와 함께 먹부림 햇님의 먹방일기 20201124/Mukbang eating show,508501.0,9800.0,206.0,506.0,2020. 11. 24.,"['친구', '일기']"
26,백설기가 이래도 되나 햇님의 쿡방 20201123,257005.0,4900.0,116.0,431.0,2020. 11. 23.,"['백설', '기가']"
27,[ENG] 가양칼국수 먹방편 /20201117방송 편집버전,206919.0,2900.0,87.0,123.0,2020. 11. 22.,"['칼국수', '가양']"
28,[ENG] 킹크랩&랍스터 먹방편 /20201116방송 편집버전,155780.0,2800.0,56.0,170.0,2020. 11. 21.,"['랍스터', '킹크']"
29,(광고예용)입짧은햇님X나도X시니 빵굼터 공장에 가다  [어디까지팔아봤니2],161494.0,3500.0,85.0,182.0,2020. 11. 20.,"['나도', '공장', '광고']"
30,새로운곳에서 짜장면먹방 20201119/Mukbang eating show,663432.0,8300.0,344.0,502.0,2020. 11. 19.,['짜장면']
31,교수곱창에서 곱대창 12인분 먹방 (Edit by 햇님) 20201118/Mukbang eating show,825063.0,12000.0,300.0,641.0,2020. 11. 18.,"['곱창', '대창', '교수']"
32,햇님이름 걸고 처음으로 판매하는 햇님사과세트 20201117/Mukbang eating show,236778.0,4600.0,124.0,451.0,2020. 11. 17.,"['세트', '처음', '이름', '판매', '사과']"
33,샤브샤브에 칼국수 그리고 죽까지 20201117/Mukbang eating show,223685.0,3300.0,121.0,136.0,2020. 11. 17.,['칼국수']
34,체리초코케이크 20201116/Mukbang eating show,173738.0,2300.0,60.0,200.0,2020. 11. 16.,"['케이크', '체리']"
35,킹크랩과 랍스타와 라면은 한몸 20201116/Mukbang eating show,326397.0,5200.0,156.0,324.0,2020. 11. 16.,"['라면', '킹크']"
36,충주 사과 농가 찾아가 보았습니다(with충주씨) /Mukbang eating show,117034.0,4200.0,49.0,424.0,2020. 11. 16.,"['농가', '사과']"
37,[ENG] 크림진짬뽕과 꿀호떡버거 만들어 먹기편 /20201112방송 편집버전,226394.0,3200.0,55.0,116.0,2020. 11. 15.,"['짬뽕', '크림', '호떡']"
38,[ENG] 김장김치와 통돼지보쌈 먹방편 /20201109방송 편집버전,213201.0,3400.0,66.0,139.0,2020. 11. 14.,"['보쌈', '통돼지', '김치']"
39,(광고예용) 22개국 21가지 음식을 먹어보았습니다 20201111/Mukbang,227893.0,7300.0,111.0,391.0,2020. 11. 13.,"['음식', '광고']"
40,꿀호떡햄버거 만들어 먹기 20201112/Mukbang eating show,193515.0,2800.0,85.0,133.0,2020. 11. 12.,"['호떡', '햄버거']"
41,크림진짬뽕 해먹기 20201112/Mukbang eating show,579597.0,8100.0,208.0,302.0,2020. 11. 12.,"['짬뽕', '크림']"
42,곰표 말표 20201110/Mukbang eating show,219326.0,300.0,116.0,206.0,2020. 11. 10.,[]
43,짜장면20201110/Mukbang eating show,328815.0,4700.0,170.0,258.0,2020. 11. 10.,['짜장면']
44,김장김치엔 수육 20201109/Mukbang eating show,411783.0,6700.0,200.0,316.0,2020. 11. 9.,"['김장', '수육', '김치']"
