,title,view,like,unlike,comment,date,token2
0,속편한 음식 땡길 땐 트러플전복죽 김치낙지죽 육쪽마늘죽 리얼사운드 먹방 | 본죽 모월인 소주 | juk EATING SHOW MUKBANG,31857.0,953.0,14.0,165.0,2020. 12. 16.,"['전복죽', '낙지', '리얼', '사운드', '김치', '소주', '속편', '마늘', '음식', '모월']"
1,열라면에 해물듬뿍 넣고 추운날 야외 리얼사운드 먹방 | 문어 순두부 열라면 | Spicy Octopus Ramyeon EATING SHOW MUKBANG REAL SOUND,134018.0,4100.0,76.0,445.0,2020. 12. 14.,"['리얼', '사운드', '순두부', '열라면', '해물', '야외']"
2,엽떡에 곱창 조합 미쳤네요 엽기떡볶이 매운맛 리얼사운드 먹방 | 천사곱창 김말이 | MOST SPICY TTEOKBOKI EATING SHOW MUKBANG,132150.0,3100.0,61.0,206.0,최초 공개: 2020. 12. 12.,"['리얼', '사운드', '매운맛', '곱창', '엽기', '떡볶이', '조합']"
3,후라이드 치킨이 신메뉴라고요?! 리얼사운드 먹방 | 교촌 리얼후라이드 교촌버거 마라떡볶이 레드라거 | Korean Fried Chicken EATING SHOW MUKBANG,326402.0,4600.0,136.0,441.0,최초 공개: 2020. 12. 9.,"['리얼', '메뉴', '사운드', '이드', '후라', '떡볶이', '마라', '치킨', '레드']"
4,편의점 컵라면 도시락 디저트 리얼사운드 먹방 | convenience store food in Korea EATING SHOW MUKBANG,186052.0,3800.0,79.0,460.0,2020. 11. 30.,"['리얼', '사운드', '도시락', '디저트', '편의점', '라면']"
5,간장게장 양념게장 만족감 폭발  리얼사운드 먹방 | Soy sauce marinated raw crab | EATING SHOW MUKBANG REAL SOUND,377912.0,9300.0,165.0,807.0,2020. 11. 25.,"['양념', '리얼', '사운드', '만족감', '게장', '폭발', '간장']"
6,맘스터치 New후라이드통다리 리얼사운드 먹방 | 신메뉴 리얼비프버거 알룰로스 양념치킨 | Fried Chicken & spicy chicken EATING SHOW MUKBANG,286186.0,4600.0,121.0,471.0,2020. 11. 21.,"['리얼', '터치', '사운드', '다리', '메뉴', '양념', '이드', '로스', '비프', '후라', '치킨']"
7,BBQ치본스테이크 신메뉴 리얼사운드 먹방 | Korean Chicken EATING SHOW MUKBANG REALSOUND,404944.0,7100.0,233.0,1323.0,2020. 11. 17.,"['리얼', '메뉴', '사운드', '치본', '스테이크']"
8,연어초밥 듬뿍에 오독오독 광어회 먹방,296045.0,6400.0,128.0,578.0,2020. 11. 15.,"['초밥', '연어', '광어']"
9,튀긴 통삼겹에 김장김치 쫙쫙찢어 리얼사운드 먹방 | 새오프닝송 | KIMCHI & Fried Pork belly EATING SHOW | REAL SOUND MUKBANG,303852.0,6500.0,140.0,623.0,2020. 11. 13.,"['리얼', '사운드', '김장', '김치', '오프닝']"
10,방음부스 보낸기념으로 짜장면 짬뽕 탕수육 먹방,183480.0,4600.0,74.0,560.0,2020. 11. 3.,"['짜장면', '짬뽕', '방음', '기념', '부스', '탕수육']"
11,멕시카나 꿀조합 치킨 먹방,128663.0,3100.0,65.0,528.0,2020. 11. 2.,"['치킨', '조합']"
12,"치킨 연구원분이 직접 튀겨주신 신메뉴를 먹어봤습니다 | 신호등치킨을 만들게 된 이유, 연구원의 최애부위는? | 멕시카나 모두의마요",306294.0,7300.0,159.0,1583.0,최초 공개: 2020. 10. 28.,"['모두', '메뉴', '이유', '연구원', '부위', '신호등', '주신', '치킨']"
13,입짧은햇님이 시키는대로 먹어봤습니다 | 대창폭탄 닭볶음탕,562843.0,16000.0,194.0,1443.0,최초 공개: 2020. 10. 23.,"['닭볶음탕', '폭탄', '대창', '햇님']"
14,육식맨님의 초대로 24시간을 굶었습니다 | 고든램지 통삼겹,1056539.0,25000.0,587.0,3229.0,최초 공개: 2020. 10. 16.,"['시간', '육식', '초대']"
15,내가 다시 시작할 수 있는 이유,742329.0,44000.0,747.0,7721.0,최초 공개: 2020. 10. 12.,"['이유', '시작']"
16,뒷광고 논란에 대한 해명 및 전할 말씀이 있습니다,3250143.0,8000.0,3300.0,19072.0,2020. 8. 9.,"['말씀', '광고', '논란', '해명']"
17,"유튜브 뒷광고 실태, 아는 만큼 말씀드리겠습니다 | 중간남",2745998.0,55000.0,1900.0,8477.0,2020. 8. 1.,"['실태', '광고', '말씀', '튜브', '중간']"
18,딸이 선물받은 킹크랩 같이먹는 리얼사운드 먹방 | King crab EATING SHOW MUKBANG REAL SOUND,697546.0,11000.0,346.0,1810.0,2020. 7. 30.,"['리얼', '사운드', '선물', '킹크']"
19,"편의점 마카롱 미쳤네요! 편스토랑, 오모리김치찌개 리얼사운드 먹방 | Korean Convenience Store Foods Real Sound Mukbang Eating Show",571774.0,8900.0,195.0,1463.0,최초 공개: 2020. 7. 26.,"['모리', '리얼', '김치찌개', '사운드', '마카롱', '편의점']"
20,"밥도둑 전복장에 뚱땡이 꼬마김밥, 광어회 리얼사운드 먹방! | Soy Sauce Marinated Abalone, Kimbap, Sashimi REAL SOUND MUKBANG!",381198.0,6200.0,151.0,628.0,2020. 7. 22.,"['리얼', '사운드', '광어', '밥도둑', '김밥', '복장', '꼬마']"
21,수박에 초장 찍어먹어보라는데 이거 현피각인가요? | 긍정부스터,128334.0,2500.0,44.0,366.0,2020. 7. 18.,"['수박', '부스터', '피각', '초장', '긍정']"
22,호떡토스트집 창업할건데 이름 추천 받아요 | 긍정부스터,230098.0,3500.0,56.0,367.0,2020. 7. 18.,"['부스터', '창업', '호떡', '긍정', '추천', '토스트', '이름']"
23,피자나라 치킨공주 더블포테이토 핫리치셋트 리얼사운드 먹방 | Pizza & Chicken EATING SHOW MUKBANG,812192.0,12000.0,275.0,1190.0,2020. 7. 13.,"['포테이토', '사운드', '더블', '피자', '공주', '리치', '나라', '치킨']"
24,통스팸 불마왕 라면에 수르스트뢰밍 리얼사운드 먹방! | Most spicy ramen & Surstromming EATING SHOW MUKBANG REALSOUND,370816.0,6400.0,124.0,514.0,최초 공개: 2020. 7. 10.,"['리얼', '마왕', '사운드', '라면']"
25,"설빙, 소리만 들어도 시원~~해지는 리얼사운드 먹방! 인절미 빙수, 인절미 토스트, 피자치즈떡볶이, 한입붕어빵 | Bingsu EATING SHOW MUKBANG!",340701.0,5600.0,133.0,965.0,2020. 7. 7.,"['리얼', '사운드', '소리', '피자', '인절미', '시원', '해지', '빙수', '토스트', '치즈', '붕어', '떡볶이', '한입']"
26,황금올리브 스타일 시장통닭 리얼사운드 먹방 | 올라프 홍라프 | 생방송 긍정부스터 | Old korean chicken EATING SHOW MUKBANG!,156486.0,2700.0,55.0,255.0,2020. 7. 3.,"['리얼', '사운드', '부스터', '황금', '통닭', '생방송', '올리브', '시장', '긍정', '스타일', '라프']"
27,중국당면 느낌의 납작칼떡볶이 직접 만들어먹는 리얼사운드 먹방 | 핫도그 | Wide spicy Tteokbokki EATING SHOW MUKBANG REAL SOUND,213775.0,4500.0,73.0,396.0,최초 공개: 2020. 7. 1.,"['리얼', '사운드', '당면', '중국', '떡볶이', '핫도그', '느낌']"
28,"김치전에 통삼겹, 소세지를 넣어 홍정식을 만들어봄 | 비오는날 김치전 감자전 | 통삼겹 소세지 쿡방 먹방 | 긍정부스터",77942.0,1700.0,33.0,169.0,최초 공개: 2020. 6. 29.,"['김치', '부스터', '감자전', '긍정', '소세지', '정식']"
29,"짜장면 냉면, 칠리새우 꿔바로우 빠삭하게 튀긴 리얼사운드 먹방 | ASMR MUKBANG EATING SHOW REAL SOUND",387416.0,6200.0,123.0,645.0,최초 공개: 2020. 6. 27.,"['리얼', '사운드', '새우', '냉면', '짜장면']"
30,파맛 첵스 치킨과 설렁탕에 말아먹었습니다 상상도 못했던 맛 | 긍정부스터,182634.0,2500.0,50.0,318.0,최초 공개: 2020. 6. 26.,"['부스터', '긍정', '상상도', '설렁탕', '치킨']"
31,비오는날 밤 혼자 라면 끓여먹는데 자고 있던 아내가 나왔다 | 열라면에 맥주한잔 | 리얼사운드 ASMR | 부부의 일상대화,696280.0,8600.0,171.0,965.0,2020. 6. 24.,"['한잔', '리얼', '사운드', '열라면', '부부', '아내', '대화', '혼자', '맥주', '일상']"
32,고원정식 먹다가 아내에게 꼰대소리 들음 ㅠ,225812.0,4100.0,57.0,367.0,최초 공개: 2020. 6. 22.,"['소리', '꼰대', '고원', '아내', '정식']"
33,라면땅 핫도그에 짜파게티 삼양라면 스프를 뿌려먹는 리얼사운드 먹방 | 제일 잘 어울리는 스프는 뭘까? | Fried ramen Corndog EATING SHOW MUKBANG,299648.0,6400.0,109.0,750.0,2020. 6. 19.,"['리얼', '사운드', '제일', '라면', '삼양', '스프', '무엇', '핫도그']"
34,크림진짬뽕에 완벽한 스테이크 리얼사운드 먹방 | 리버스시어링 채끝스테이크 | Cream spicy cheese noodles EATING SHOW MUKBANG,451688.0,8100.0,143.0,682.0,2020. 6. 17.,"['리얼', '사운드', '크림', '완벽', '채끝', '스테이크', '리버스', '시어링', '짬뽕']"
35,BBQ 자메이카 통다리구이 신메뉴 치즈볼4개 리얼사운드 먹방 | KOREAN BBQ CHICKEN LEGS EATING SHOW MUKBANG,695136.0,1000.0,262.0,1515.0,2020. 6. 14.,"['리얼', '메뉴', '사운드', '다리', '구이', '자메이카', '치즈']"
