,title,view,like,unlike,comment,date,token2
0,"아삭한 김장김치와 싱싱한 굴, 보쌈까지! (Bossam, Boiled pork belly with Oysters & Kimchi) 요리&먹방!- Mukbang eating show",286097.0,9300.0,617.0,1202.0,2020. 12. 17.,"['김치', '김장', '요리', '보쌈']"
1,대중적인 매운맛! 맵닭볶음면과 양고기 토마호크까지~(Spicy chicken flavor ramen& Lamb tomahawk) 요리&먹방! - Mukbang eating show,301052.0,9400.0,410.0,654.0,2020. 12. 16.,"['양고기', '호크', '대중적', '매운맛', '요리']"
2,직접 재배한 배추와 고추로 김치 50포기 김장!! 김장김치와 신라면 8봉 먹방까지! 요리&먹방!! - Mukbang eating show,485261.0,14000.0,579.0,1302.0,2020. 12. 15.,"['요리', '직접', '배추', '포기', '신라', '재배', '김장', '김치', '고추']"
3,환상의 분식 짝꿍! 쫄면과 수제 돈까스 먹방! (Handmade Pork Cutlet & Jjolmyeon) 요리&먹방!! - Mukbang eating show,394018.0,9900.0,679.0,935.0,2020. 12. 13.,"['돈까스', '환상', '분식', '짝꿍', '요리', '수제']"
4,싱싱한 꼼장어를 숯불초벌해서 구운 양념 꼼장어 구이!! (Seasoned Grilled Eel) 요리&먹방!! - Mukbang eating show,332186.0,9600.0,100.0,1274.0,2020. 12. 12.,"['꼼장어', '요리', '구이', '초벌', '양념', '숯불']"
5,제주하면 흑돼지!! 숯불직화 흑돼지 삼겹살과 목살! (Black pork belly & Neck meat in Jeju) 요리&먹방!! - Mukbang eating show,299234.0,9200.0,586.0,649.0,2020. 12. 10.,"['요리', '돼지', '목살', '제주', '삼겹살', '숯불']"
6,해물 통갈치 조림과 제주향토음식 몸국과 고기국수 까지! 제주 음식투어 먹방!! (Food tour in Jeju) - Mukbang eating show,380773.0,1000.0,658.0,690.0,2020. 12. 9.,"['고기', '투어', '갈치', '음식', '향토', '국과', '국수', '조림', '제주', '해물']"
7,"짜파게티와 파김치, 반숙계란까지~ (Chapagetti with Green onion Kimchi) 8개 뚝딱! 요리&먹방!! - Mukbang eating show",394246.0,1000.0,614.0,684.0,2020. 12. 8.,"['파김치', '계란', '요리', '반숙']"
8,"돌솥 무밥과 바지락국, 우럭구이, 무생채까지 집밥 한상!! (Homemade Korean foods) 요리&먹방!! - Mukbang eating show",464089.0,1000.0,476.0,623.0,2020. 12. 6.,"['요리', '무생채', '돌솥', '무밥', '구이', '바지락']"
9,"불족발) 가마솥에 익힌 족발에 매운 양념 묻혀 숯불에 구운 불족발!! (Spicy Jokbal, pigs' feet) 요리&먹방!! - Mukbang eating show",617347.0,13000.0,844.0,1020.0,2020. 12. 5.,"['족발', '숯불', '가마솥', '양념', '요리']"
10,맵단짠 맵단짠!! 치즈 듬뿍 솥뚜껑 치즈 닭갈비 (Spicy Stir-fried Chicken with Cheese!) 요리&먹방!! - Mukbang eating show,415678.0,1000.0,758.0,976.0,2020. 12. 3.,"['갈비', '요리', '솥뚜껑', '치즈']"
11,고등어 구이와 잘 익은 김치로 만든 김치찌개! 집밥 한상! (Kimchi stew & Grilled Mackerel) 요리&먹방!! - Mukbang eating show,516259.0,1000.0,598.0,800.0,2020. 12. 2.,"['김치찌개', '구이', '김치', '요리', '고등어']"
12,짚불로 초벌해서 더 맛있게 구운 삼겹살에 파김치까지! (Samgyeopsal grilled by Straw fire) 요리&먹방!! - Mukbang eating show,444200.0,11000.0,616.0,832.0,2020. 12. 1.,"['파김치', '짚불', '초벌', '삼겹살', '요리']"
